year,quarter,EPS,BVPS
2025,3,150.43742805882354,12188.6616705294
2025,2,670.8722974117647,12568.3117281176
2025,1,258.3670562352941,12031.6138901765
2024,4,257.28567170588235,11824.9202451765
2024,3,229.88426847058824,11618.5999532941
2024,2,-45.01773511764706,11935.1842930588
2024,1,113.97504576470588,11971.1984811176
2023,4,-181.31548494117646,11880.0184445294
2023,3,278.8835737058823,12025.0708324706
2023,2,103.08319117647059,12701.9639735294
2023,1,-79.37596047058824,12603.6222284706
2022,4,-536.3204984705883,12682.9981889412
2022,3,131.52479823529413,13112.0545877647
2022,2,378.375918,13006.8347491765
2022,1,685.0980539411764,14404.1340147647
2021,4,947.078902,13856.0555715882
2021,3,1375.1398214117646,13044.9508479412
2021,2,731.9086584705882,12344.8389905882
2021,1,285.75960564705883,11759.3120640588
2020,4,218.07450435294118,11530.7043795294
2020,3,13.123436176470587,11856.2447760588
2020,2,165.56886770588235,11845.7460271176
2020,1,95.45117635294118,11713.2909329412
2019,4,204.86008176470588,11636.9299918824
2019,3,-137.0876225882353,11446.4100953529
2019,2,239.47258282352942,11583.4977179412
2019,1,45.08248023529412,11391.9196517059
2018,4,208.01936770588236,11955.8536675294
2018,3,71.656119,11791.9701631765
2018,2,232.6712103529412,11734.645268
2018,1,134.14967188235295,11548.5082997059
2017,4,-88.52127005882353,12441.1885621765
2017,3,231.389152,12512.6697735882
2017,2,95.9181425882353,12327.558452
2017,1,346.6794583529412,12850.8239379412
2016,4,299.80175788235294,12573.4803712353
2016,3,551.3682817058824,12936.6795725882
2016,2,539.3155532941176,12495.5849472353
2016,1,263.44989529411765,12858.3751100588
2015,4,607.94276,12647.6151938235
2015,3,0.0,0.0
2015,2,0.0,0.0
2015,1,0.0,0.0
