date,gross_ret,net_ret,n_hold,turnover
2018-01-31,0.09489796875563977,0.09339796875563977,52,1.0
2018-02-28,-0.003594077512861471,-0.00463253905132301,45,0.6923076923076923
2018-03-31,0.05342952214395479,0.05240824554821011,47,0.6808510638297873
2018-04-30,-0.101729093724352,-0.10243122138392646,43,0.46808510638297873
2018-05-31,0.0,0.0,0,0.0
2018-06-30,0.0,0.0,0,0.0
2018-07-31,0.0,0.0,0,0.0
2018-08-31,0.0,0.0,0,0.0
2018-09-30,0.0,0.0,0,0.0
2018-10-31,0.0,0.0,0,0.0
2018-11-30,0.0,0.0,0,0.0
2018-12-31,0.0,0.0,0,0.0
2019-01-31,0.0,0.0,0,0.0
2019-02-28,0.07034197803857117,0.06884197803857117,41,1.0
2019-03-31,0.08636768822383907,0.08512240520497115,53,0.8301886792452831
2019-04-30,0.0013256606401314847,0.00019358516843337166,49,0.7547169811320754
2019-05-31,0.02536438876612758,0.024446021419188804,46,0.6122448979591837
2019-06-30,0.03529009840356655,0.03446031116952399,47,0.5531914893617021
2019-07-31,0.05008737198594478,0.04908737198594478,48,0.6666666666666666
2019-08-31,0.047679183453271885,0.04687149114557958,52,0.5384615384615383
2019-09-30,-0.03165586532515104,-0.03263663455592027,48,0.6538461538461537
2019-10-31,0.014993056679413318,0.013805556679413319,43,0.7916666666666666
2019-11-30,0.0,0.0,0,0.0
2019-12-31,0.0,0.0,0,0.0
2020-01-31,0.0,0.0,0,0.0
2020-02-29,0.0,0.0,0,0.0
2020-03-31,0.0,0.0,0,0.0
2020-04-30,0.0,0.0,0,0.0
2020-05-31,0.0,0.0,0,0.0
2020-06-30,0.0,0.0,0,0.0
2020-07-31,0.0,0.0,0,0.0
2020-08-31,0.2151705967250285,0.2136705967250285,62,1.0
2020-09-30,0.038283185480598794,0.03751045820787152,66,0.5151515151515151
2020-10-31,-0.035752049726045426,-0.036423691517090205,67,0.44776119402985076
2020-11-30,0.15269090865330745,0.15189679100624862,68,0.5294117647058824
2020-12-31,0.2072568373618203,0.20604952028864956,82,0.8048780487804877
2021-01-31,0.00580027985304071,0.00461277985304071,96,0.7916666666666667
2021-02-28,0.12865173307086245,0.12730798307086244,83,0.8958333333333334
2021-03-31,0.0911559020742657,0.09039059595181673,98,0.5102040816326532
2021-04-30,0.018328476911469695,0.017080952158994446,101,0.8316831683168316
2021-05-31,0.0610767132996279,0.060096515279825916,88,0.6534653465346535
2021-06-30,0.07438107494821368,0.07329016585730459,99,0.7272727272727273
2021-07-31,-0.025272901476349478,-0.02663653783998584,87,0.9090909090909091
2021-08-31,0.1915400535594203,0.19070351509788183,104,0.5576923076923077
2021-09-30,0.06191578388837943,0.06110430847854336,122,0.5409836065573771
2021-10-31,0.14362231705137596,0.14296909124492435,124,0.435483870967742
2021-11-30,0.15061722193066396,0.14907496840953718,142,1.028169014084507
2021-12-31,-0.010832973500220174,-0.011825931246699046,128,0.6619718309859155
2022-01-31,-0.16355408594672616,-0.16435096094672616,122,0.53125
2022-02-28,0.1547207669493758,0.15400765219527746,116,0.47540983606557374
2022-03-31,0.0604589782207597,0.059595341857123334,132,0.5757575757575757
2022-04-30,0.0,0.0,0,0.0
2022-05-31,0.0,0.0,0,0.0
2022-06-30,0.0,0.0,0,0.0
2022-07-31,0.0,0.0,0,0.0
2022-08-31,0.0,0.0,0,0.0
2022-09-30,0.0,0.0,0,0.0
2022-10-31,0.0,0.0,0,0.0
2022-11-30,0.0,0.0,0,0.0
2022-12-31,0.0,0.0,0,0.0
2023-01-31,0.0,0.0,0,0.0
2023-02-28,0.0,0.0,0,0.0
2023-03-31,0.0,0.0,0,0.0
2023-04-30,0.0,0.0,0,0.0
2023-05-31,0.0,0.0,0,0.0
2023-06-30,0.03693526145072349,0.03543526145072349,99,1.0
2023-07-31,0.08262772248760925,0.08202772248760924,100,0.4000000000000001
2023-08-31,0.03927083943398324,0.03863006273495411,103,0.42718446601941756
2023-09-30,-0.046240935456881724,-0.047202100505425414,100,0.6407766990291263
2023-10-31,0.0,0.0,0,0.0
2023-11-30,0.0,0.0,0,0.0
2023-12-31,0.052028299333046125,0.050528299333046124,80,1.0
2024-01-31,0.02461831265521989,0.02320867410100302,83,0.9397590361445783
2024-02-29,0.07920432623144366,0.0782942138718931,89,0.6067415730337079
2024-03-31,0.07133589344930365,0.07063376578972919,94,0.46808510638297873
2024-04-30,-0.0893899963173531,-0.08996446440245949,90,0.3829787234042554
2024-05-31,0.1391045540816731,0.1383858040816731,96,0.47916666666666674
2024-06-30,0.019867823262506332,0.018915900185583256,104,0.6346153846153846
2024-07-31,-0.04068750899092633,-0.041754816683234025,91,0.7115384615384616
2024-08-31,0.01381036503664769,0.012953222179504833,84,0.5714285714285713
2024-09-30,0.0007599051376736389,4.561942338792465e-05,81,0.47619047619047616
2024-10-31,-0.017777844914690998,-0.0184815486183947,80,0.4691358024691359
2024-11-30,0.0,0.0,0,0.0
2024-12-31,0.06619770673565566,0.06469770673565566,86,1.0
2025-01-31,0.03450111241304954,0.033245298459561166,82,0.8372093023255814
2025-02-28,0.11981916897606837,0.11867211015253895,102,0.7647058823529412
2025-03-31,-0.0412629422482937,-0.042292354012999585,91,0.6862745098039217
2025-04-30,0.0,0.0,0,0.0
2025-05-31,0.05390540998559065,0.05240540998559065,89,1.0
2025-06-30,0.025601618639242055,0.024725214144860033,89,0.5842696629213483
2025-07-31,0.07224672466639045,0.0714678785125443,104,0.5192307692307692
2025-08-31,0.07288362597056475,0.07193035494252736,107,0.6355140186915889
2025-09-30,0.025113852230369618,0.024300768118220087,94,0.5420560747663552
2025-10-31,0.002537685293135604,0.0019313023144121996,90,0.4042553191489362
2025-11-30,-0.01445140545562585,-0.015084738788959183,87,0.42222222222222217
2025-12-31,-0.014227555763249588,-0.014977555763249589,88,0.5
2026-01-31,0.020255073263245323,0.018755073263245322,96,1.0
2026-02-28,-0.006057402199887638,-0.007276152199887638,88,0.8125
2026-03-31,-0.05337245164227053,-0.05427245164227053,90,0.6
2026-04-30,-0.006270054666011532,-0.007270054666011532,80,0.6666666666666667
