symbol,sector,latest_q,score,close,drawdown,ret_6m,ret_12m,pe_est,pb_est,ps_est,pe_upside,rev_yoy,np_yoy,rev_qoq,np_qoq,accel_score,margin_trend,roe,net_margin,gross_margin,debt_equity,ttm_np_B,np_latest_B,rev_latest_B,avg_val_20d
BSR,Oil & Gas,2025Q4,0.7037879943438579,29.75,-0.21400264200792604,0.9193548387096774,0.6713483146067415,20.0,1.71,0.73,,0.04596158062749854,34.77023265009534,0.0660581481150774,2.343097037268893,2,9.2564,5.0161,8.0646,9.6792,0.4064,5185.942061885,3034.013069975,37621.442363611,517383935.5
VGI,Telecommunications,2025Q4,0.6725850688254562,93.1,-0.3292507204610952,0.28236914600550966,0.3657634925990581,1.8,0.38,0.37,,0.27665697146906226,0.013782848089275377,0.05889428984943854,-0.07128535420224638,1,-3.6450999999999993,7.8594,27.3616,49.646,0.9017,9324.004846449,3367.217326208,12306.368008182,81971316.5
PNJ,Retail,2025Q4,0.6418712478267914,65.8,-0.4818897637795276,-0.27692307692307694,-0.20376577644937618,5.1,1.09,0.41,,0.1213852654009935,0.6639881289883093,0.18283907155787332,1.458942540270434,1,4.264900000000001,9.1815,12.6666,25.1341,0.5192,2829.338825192,1218.909077096,9622.992508867,72242969.0
PC1,Construction & Materials,2025Q4,0.6231245428077152,19.35,-0.3827751196172249,-0.10829493087557594,-0.14380530973451328,45.8,5.42,3.68,,0.9730829054059388,8.016024849301767,0.5288749591896084,0.8350995303465842,2,-2.0767999999999986,6.2116,11.0166,21.2662,1.7636,1050.164661216,552.126686054,5011.766952075,240722256.5
HPG,Basic Resources,2025Q4,0.6166595879581357,24.0,-0.20922570016474468,-0.09604519774011303,0.1272368606453431,8.1,0.96,0.8,,0.33879876132608505,0.375585340934331,0.2683263222378528,-0.03192423792027217,2,1.1974,2.9424,8.3614,13.8526,0.9656,15450.084827347,3860.994446656,46176.484549771,627572309.75
VNM,Food & Beverage,2025Q4,0.60612730901159,59.2,-0.19346049046321528,-0.07499999999999996,0.07441016333938297,4.6,1.27,0.69,,0.10056677175960878,0.3374937395999378,0.004737791017105678,0.12411160093421522,2,0.3278000000000034,8.237,16.6751,40.4497,0.546,9410.201646692,2840.367601702,17033.552405954,218685557.0
DIG,Real Estate,2025Q4,0.5981121124141411,13.05,-0.48823529411764705,-0.36803874092009675,-0.2042682926829267,40.5,2.69,5.71,,5.643481842988026,3.7700939260924957,1.2098102038160272,1.0010199132118218,1,-17.230900000000002,4.2192,14.2962,22.0966,0.8964,665.947363254,423.124237044,2959.702076567,134758258.25
GVR,Chemicals,2026Q1,0.5744200568931475,34.9,-0.23715846994535522,0.2783882783882783,0.1870748299319728,4.9,0.5,0.99,,0.5580793894873111,0.8999328695593061,0.03991487428088124,1.2484398401502592,1,-2.4177999999999997,3.4635,25.4461,26.4177,0.3415,6595.854152942,2250.751648382,8845.157076569,161694187.5
KDH,Real Estate,2025Q4,0.5721384633863946,22.55,-0.39054054054054055,-0.3557142857142857,-0.16481481481481478,24.1,1.2,5.42,,-0.11291332742137626,0.24767738330879133,0.653854548854551,1.1035978235492871,1,26.635800000000003,2.3426,27.3052,70.9997,0.609,1052.699493,495.954642,1816.336156,126677522.75
OIL,Oil & Gas,2025Q4,0.5651439772560194,15.1,-0.39112903225806456,0.42452830188679247,0.48973954222573013,27.9,1.03,0.08,,0.6674620241213779,0.5007680240898088,0.4791960157207829,-0.2524782175462374,1,-0.7559,0.8118,0.1931,2.8946,2.9478,425.733201565,93.614248947,48482.286035792,59479163.5
VPL,Unknown,2026Q1,0.56364196479044,93.5,-0.12041392285983064,-0.015789473684210527,0.05649717514124294,6.9,0.46,1.1,,0.1731801769716082,15.69452254964908,-0.4659251955713405,1.1460988830369327,0,5.957199999999997,3.9576,43.2723,33.4811,1.3884,2548.453,1508.083,3485.103,88169031.0
HAG,Food & Beverage,2025Q4,0.5633006473922173,15.3,-0.18832891246684352,-0.12068965517241369,0.10071942446043168,4.9,0.73,1.39,,0.22558644197766872,3.355193773228896,-0.030184387383169226,1.1058226166600618,1,-8.305200000000003,6.1753,47.6525,30.8171,0.8959,2125.515559,875.945525,1838.192951,51896123.5
MSN,Food & Beverage,2026Q1,0.5450694124261282,74.7,-0.15593220338983046,-0.03488372093023259,0.17823343848580447,17.4,1.86,0.99,,0.2711192917983178,2.165931385006353,0.03329324728203882,-0.15479738581602337,2,0.1349000000000018,2.6929,5.1865,32.9147,1.8256,4960.6,1245.794,24019.754,430414551.0
DPM,Chemicals,2025Q4,0.5422260542436519,25.9,-0.2382352941176471,0.12121212121212108,0.38888888888888884,19.1,1.78,1.24,,0.07911567120025458,5.352046225127934,-0.08431716641004149,-0.029024706479549904,2,7.160299999999999,1.9902,6.7225,19.575,0.5414,1073.759754658,229.529982478,3414.363337789,102558626.5
KBC,Real Estate,2025Q4,0.5410734637301929,30.5,-0.2588092345078979,-0.13597733711048152,0.13172541743970317,10.1,0.81,3.26,,1.1098739348374653,7.734368547838265,0.22356106628912908,1.1203125426865146,1,-12.703799999999994,2.4361,39.5228,36.6022,1.608,2146.750294137,651.529576299,1648.488391274,108882792.75
DCM,Chemicals,2026Q1,0.5317317253090414,39.8,-0.20717131474103595,0.1740412979351032,0.25413581219473763,12.1,2.4,1.47,,0.5516590904144416,0.9148358297894195,0.16731867621559018,1.019918636423982,1,-0.510900000000003,6.8295,14.9033,25.4717,0.6343,2291.621686871,787.796389248,5286.049223911,138260593.5
PVD,Oil & Gas,2025Q4,0.5229292829783297,30.5,-0.32222222222222224,0.1423220973782772,0.6589611096002175,31.4,1.9,2.99,,0.5465020694654318,0.6683514286683016,0.6777698380366426,0.2964976199052699,1,2.5565999999999995,2.1101,8.3643,15.4177,0.656,1031.54236259,360.74574534,4312.947645714,162181701.75
MWG,Retail,2026Q1,0.5193892933899102,76.3,-0.18569903948772684,-0.04505632040050073,0.20371685045829582,11.7,2.67,0.57,,0.28578955284918933,0.7558481959015207,0.08428299192608148,0.3102771905649107,1,0.9725999999999999,7.5541,5.8423,20.899,1.3375,8205.122284287,2714.430852106,46461.952026773,478955904.0
DGW,Retail,2026Q1,0.5130937339816195,40.85,-0.27053571428571427,-0.06521739130434785,0.2194029850746269,15.9,2.78,0.34,,0.540078769668331,0.8902107815277576,0.0638328307661139,0.25320270378427195,1,0.7418000000000013,5.449,2.3554,9.4517,1.73,642.172862169,200.217309339,8500.182474845,51068038.75
GEX,Industrial Goods & Services,2025Q4,0.5101938664174672,32.1,-0.5091743119266056,-0.3104189044038667,-0.08923251525039003,75.2,3.81,2.91,28.05535390199637,0.14789502706277816,-0.9707362923669159,0.18303851076536506,-0.9733086826900209,1,-0.9083000000000006,0.0551,0.1426,22.8523,1.4395,1529.144685579,16.600176601,11642.439688863,574791644.5
