ticker,sector,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,shares,cost_vnd,proceeds_vnd,pnl_vnd,pnl_pct,exit_reason,entry_state
HDB,Banks,2024-12-25,2025-01-04,2025-02-01,28,22.2,25.45,449,9992720,11398482,1405763,14.07,peaking,RECOVERY
VPB,Banks,2024-12-25,2024-12-26,2025-01-23,28,18.74,18.01,532,9994604,9557367,-437237,-4.37,peaking,RECOVERY
VAB,Banks,2024-12-25,2024-12-26,2025-01-23,28,6.019,6.019,1657,9998417,9948549,-49867,-0.5,peaking,RECOVERY
SSB,Banks,2024-12-25,2024-12-26,2025-01-23,28,17.25,18.75,578,9995426,10810406,814980,8.15,peaking,RECOVERY
NAB,Banks,2024-12-25,2025-01-04,2025-02-01,28,13.32,12.8,748,9988268,9550464,-437804,-4.38,peaking,RECOVERY
HDB,Banks,2024-12-25,2025-01-04,2025-02-01,28,22.2,25.45,449,9992720,11398482,1405763,14.07,peaking,RECOVERY
SSB,Banks,2024-12-25,2024-12-31,2025-01-23,23,16.85,18.75,591,9983246,11053547,1070301,10.72,peaking,RECOVERY
VPB,Banks,2024-12-25,2024-12-31,2025-01-23,23,18.74,18.01,532,9994604,9557367,-437237,-4.37,peaking,RECOVERY
VAB,Banks,2024-12-25,2024-12-31,2025-01-23,23,6.085,6.019,1639,9998248,9840478,-157770,-1.58,peaking,RECOVERY
NAB,Banks,2024-12-25,2025-01-04,2025-02-01,28,13.32,12.8,748,9988268,9550464,-437804,-4.38,peaking,RECOVERY
MCH,Food & Beverage,2025-02-26,2025-03-04,2025-03-11,7,136.388,170.485,187,25568317,31800993,6232676,24.38,stock_tp(25%),
MCH,Food & Beverage,2025-02-26,2025-03-01,2025-03-12,11,170.303,212.87875,300,51218627,63703966,12485339,24.38,stock_tp(25%),
MCM,Food & Beverage,2025-02-26,2025-03-04,2025-03-28,24,31.691,30.677,808,25670344,24725048,-945295,-3.68,peaking,RECOVERY
SJS,Real Estate,2025-06-16,2025-07-01,2025-07-07,6,28.378,35.4725,423,12033904,14967355,2933452,24.38,stock_tp(25%),
SJS,Real Estate,2025-06-16,2025-07-01,2025-07-07,6,28.378,35.4725,423,12033904,14967355,2933452,24.38,stock_tp(25%),
HDG,Real Estate,2025-06-16,2025-07-01,2025-07-10,9,25.137,31.42125,478,12045525,14981809,2936284,24.38,stock_tp(25%),
DXG,Real Estate,2025-06-16,2025-06-17,2025-07-17,30,16.0,20.0,751,12046040,14982450,2936410,24.38,stock_tp(25%),
KBC,Real Estate,2025-06-16,2025-06-17,2025-08-01,45,25.45,31.8125,472,12042431,14977961,2935530,24.38,stock_tp(25%),
KBC,Real Estate,2025-06-16,2025-06-20,2025-08-01,42,25.65,32.0625,468,12034210,14967737,2933526,24.38,stock_tp(25%),
NTL,Real Estate,2025-06-16,2025-06-17,2025-08-13,57,17.75,22.1875,677,12046792,14983385,2936593,24.38,stock_tp(25%),
NLG,Real Estate,2025-06-16,2025-07-01,2025-10-01,92,34.936,32.074,344,12048029,11005872,-1042157,-8.65,peaking,RECOVERY
NLG,Real Estate,2025-06-16,2025-07-01,2025-10-01,92,34.936,32.074,344,12048029,11005872,-1042157,-8.65,peaking,RECOVERY
TIG,Real Estate,2025-06-16,2025-07-01,2025-10-01,92,13.2,12.9,910,12042030,11709652,-332378,-2.76,peaking,RECOVERY
HPG,Basic Resources,2025-10-14,2025-10-15,2025-11-06,22,28.4,26.35,2434,69298414,63975560,-5322854,-7.68,momentum(-6.6%),LEADING
VGS,Basic Resources,2025-10-14,2025-11-02,2025-11-06,4,24.318,23.865,947,23086719,22543655,-543064,-2.35,momentum(-6.6%),LEADING
KSB,Basic Resources,2025-10-14,2025-10-20,2025-11-06,17,19.2,18.1,1200,23097600,21665700,-1431900,-6.2,momentum(-6.6%),LEADING
HII,Basic Resources,2025-10-14,2025-10-20,2025-11-06,17,4.63,5.19,4978,23105760,25771230,2665470,11.54,momentum(-6.6%),LEADING
CST,Basic Resources,2025-12-04,2025-12-05,2026-01-08,34,13.6,12.8,4914,66997476,62741952,-4255524,-6.35,momentum(-6.6%),LEADING
HII,Basic Resources,2025-12-04,2025-12-11,2026-01-08,28,7.44,5.99,2994,22331048,17889225,-4441824,-19.89,momentum(-6.6%),LEADING
HHP,Basic Resources,2025-12-04,2025-12-11,2026-02-02,53,12.8,12.9,1740,22327680,22389885,62205,0.28,momentum(-6.6%),LEADING
HSG,Basic Resources,2025-12-04,2025-12-11,2026-02-02,53,17.1,16.0,1302,22319860,20779920,-1539940,-6.9,momentum(-6.6%),LEADING
HPG,Basic Resources,2026-02-10,2026-02-11,2026-03-24,41,26.65,26.0,2317,61902420,60091395,-1811025,-2.93,momentum(-6.4%),RECOVERY
HPG,Basic Resources,2026-02-10,2026-02-23,2026-03-24,29,27.1,26.0,2279,61915302,59105865,-2809437,-4.54,momentum(-6.4%),RECOVERY
HHP,Basic Resources,2026-03-26,2026-04-02,2026-05-01,29,13.4,11.0,1479,19868146,16228328,-3639819,-18.32,end_of_data,RECOVERY
HII,Basic Resources,2026-03-26,2026-03-27,2026-04-24,28,5.57,5.33,3558,19867605,18916730,-950875,-4.79,end_of_data,RECOVERY
VGS,Basic Resources,2026-03-26,2026-04-02,2026-05-01,29,26.0,26.0,762,19861530,19762470,-99060,-0.5,end_of_data,RECOVERY
CST,Basic Resources,2026-03-26,2026-04-01,2026-04-24,23,15.7,13.9,3787,59604540,52507702,-7096838,-11.91,end_of_data,RECOVERY
